Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
4.52,55.4,10,55.3896,9.20412
4.54,55.6,10,55.5942,10.2309
4.56,55.8,10,55.8009,10.3372
4.58,56,10,56.0093,10.4177
4.6,56.2,10,56.1857,8.8201
4.62,56.4,10,56.399,10.6646
4.64,56.6,10,56.6047,10.2872
4.66,56.8,10,56.8051,10.0159
4.68,57,10,56.9991,9.70041
4.7,57.2,10,57.202,10.146
4.72,57.4,10,57.3929,9.54788
4.74,57.6,10,57.6042,10.5647
4.76,57.8,10,57.807,10.1374
4.78,58,10,57.9927,9.2844
4.8,58.2,10,58.2079,10.7624
4.82,58.4,10,58.4031,9.75855
4.84,58.6,10,58.5943,9.55869
4.86,58.8,10,58.8274,11.657
4.88,59,10,58.9934,8.29998
4.9,59.2,10,59.2045,10.5528
4.92,59.4,10,59.4086,10.2077
4.94,59.6,10,59.5974,9.44178
4.96,59.8,10,59.8063,10.444
4.98,60,10,60.0051,9.9375
5,60.2,10,60.4221,9.9998
5.02,60.4,10,60.4081,-0.703965
5.04,60.6,10,60.5978,9.48696
5.06,60.8,10,60.809,10.5596
5.08,61,10,61.0084,9.97116
5.1,61.2,10,61.1844,8.7982
5.12,61.4,10,61.3933,10.4453
5.14,61.6,10,61.6163,11.1498
5.16,61.8,10,61.8242,10.3959
5.18,62,10,61.9954,8.56176
5.2,62.2,10,62.195,9.98009
5.22,62.4,10,62.3915,9.82095
5.24,62.6,10,62.5967,10.2603
5.26,62.8,10,62.7824,9.288
5.28,63,10,63.0108,11.421
5.3,63.2,10,63.1982,9.36736
5.32,63.4,10,63.4054,10.361
5.34,63.6,10,63.6078,10.1186
5.36,63.8,10,63.8026,9.74092
5.38,64,10,63.9881,9.27386
5.4,64.2,10,64.1949,10.3396
5.42,64.4,10,64.3857,9.54106
5.44,64.6,10,64.5976,10.5942
5.46,64.8,10,64.8225,11.2482
5.48,65,10,65.0178,9.76244
5.5,65.2,10,65.2028,9.24801
5.52,65.4,10,65.3926,9.49231
5.54,65.6,10,65.6024,10.4901
5.56,65.8,10,65.8023,9.99684
5.58,66,10,65.9937,9.56757
5.6,66.2,10,66.1894,9.78558
5.62,66.4,10,66.4036,10.7095
5.64,66.6,10,66.6021,9.92444
5.66,66.8,10,66.7844,9.11494
5.68,67,10,66.9942,10.4907
5.7,67.2,10,67.1827,9.42596
5.72,67.4,10,67.4061,11.1707
5.74,67.6,10,67.6018,9.78554
5.76,67.8,10,67.8026,10.0363
5.78,68,10,68.0188,10.8097
5.8,68.2,10,68.1999,9.05655
5.82,68.4,10,68.4083,10.4231
5.84,68.6,10,68.6066,9.91232
5.86,68.8,10,68.8199,10.6662
5.88,69,10,69.0031,9.15841
5.9,69.2,10,69.202,9.94732
5.92,69.4,10,69.4041,10.1025
5.94,69.6,10,69.6,9.79606
5.96,69.8,10,69.7984,9.91777
5.98,70,10,70.0102,10.5941
6,70.2,10,70.4987,10.0001
6.02,70.4,10,70.3862,-5.62449
6.04,70.6,10,70.5906,10.2161
6.06,70.8,10,70.7938,10.1634
6.08,71,10,71.0016,10.3865
6.1,71.2,10,71.2181,10.8291
6.12,71.4,10,71.3849,8.33685
6.14,71.6,10,71.6145,11.4806
6.16,71.8,10,71.7915,8.84978
6.18,72,10,72.0098,10.9179
6.2,72.2,10,72.2042,9.71804
6.22,72.4,10,72.427,11.1384
6.24,72.6,10,72.6096,9.13219
6.26,72.8,10,72.8076,9.8991
6.28,73,10,72.9986,9.54838
6.3,73.2,10,73.1828,9.21033
6.32,73.4,10,73.3865,10.185
6.34,73.6,10,73.6077,11.0601
6.36,73.8,10,73.8071,9.97184
6.38,74,10,74.0007,9.67739
6.4,74.2,10,74.2158,10.7583
6.42,74.4,10,74.3874,8.58037
6.44,74.6,10,74.6067,10.9651
6.46,74.8,10,74.7976,9.54203
6.48,75,10,75.0105,10.6461
6.5,75.2,10,75.2134,10.1473
6.52,75.4,10,75.4013,9.39269
6.54,75.6,10,75.6005,9.96101
6.56,75.8,10,75.7911,9.52901
6.58,76,10,75.998,10.3437
6.6,76.2,10,76.2016,10.1815
6.62,76.4,10,76.4116,10.5018
6.64,76.6,10,76.6146,10.1479
6.66,76.8,10,76.8019,9.36376
