Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
3.76,0.834267,0.174533,0.841088,0.833736
3.78,0.837758,0.174533,0.830642,-0.522307
3.8,0.841249,0.174533,0.84302,0.618884
3.82,0.844739,0.174533,0.836864,-0.307785
3.84,0.84823,0.174533,0.840007,0.157147
3.86,0.851721,0.174533,0.84655,0.327139
3.88,0.855211,0.174533,0.8585,0.597518
3.9,0.858702,0.174533,0.861918,0.170896
3.92,0.862193,0.174533,0.851626,-0.51461
3.94,0.865683,0.174533,0.870936,0.965508
3.96,0.869174,0.174533,0.855852,-0.754207
3.98,0.872665,0.174533,0.867359,0.575349
4,0.876155,0.174533,0.877407,0.502421
4.02,0.879646,0.174533,0.87687,-0.0268417
4.04,0.883137,0.174533,0.879589,0.135919
4.06,0.886627,0.174533,0.887904,0.415755
4.08,0.890118,0.174533,0.893688,0.28919
4.1,0.893609,0.174533,0.892043,-0.0822433
4.12,0.897099,0.174533,0.903255,0.560634
4.14,0.90059,0.174533,0.898807,-0.22244
4.16,0.904081,0.174533,0.898055,-0.037604
4.18,0.907571,0.174533,0.903167,0.255629
4.2,0.911062,0.174533,0.907662,0.224743
4.22,0.914553,0.174533,0.90359,-0.203584
4.24,0.918043,0.174533,0.917344,0.68766
4.26,0.921534,0.174533,0.924408,0.353218
4.28,0.925025,0.174533,0.934498,0.504497
4.3,0.928515,0.174533,0.923259,-0.561917
4.32,0.932006,0.174533,0.918529,-0.236531
4.34,0.935496,0.174533,0.934304,0.788765
4.36,0.938987,0.174533,0.948661,0.717864
4.38,0.942478,0.174533,0.938093,-0.528402
4.4,0.945968,0.174533,0.964871,1.33887
4.42,0.949459,0.174533,0.941956,-1.14573
4.44,0.95295,0.174533,0.94728,0.266191
4.46,0.95644,0.174533,0.970399,1.15595
4.48,0.959931,0.174533,0.960128,-0.513556
4.5,0.963422,0.174533,0.968922,0.439724
4.52,0.966912,0.174533,0.956495,-0.621348
4.54,0.970403,0.174533,0.964604,0.405452
4.56,0.973894,0.174533,0.97484,0.51177
4.58,0.977384,0.174533,0.986685,0.592257
4.6,0.980875,0.174533,0.966578,-1.00537
4.62,0.984366,0.174533,0.98336,0.839098
4.64,0.987856,0.174533,0.992594,0.461732
4.66,0.991347,0.174533,0.996403,0.190436
4.68,0.994838,0.174533,0.993902,-0.125057
4.7,0.998328,0.174533,1.00031,0.320535
4.72,1.00182,0.174533,0.994761,-0.277585
4.74,1.00531,0.174533,1.00954,0.739195
4.76,1.0088,0.174533,1.01578,0.311943
4.78,1.01229,0.174533,1.00496,-0.541069
4.8,1.01578,0.174533,1.0237,0.936888
4.82,1.01927,0.174533,1.02236,-0.0669148
4.84,1.02276,0.174533,1.01703,-0.266775
4.86,1.02625,0.174533,1.05366,1.83152
4.88,1.02974,0.174533,1.02315,-1.52549
4.9,1.03323,0.174533,1.03769,0.727297
4.92,1.03673,0.174533,1.04534,0.382278
4.94,1.04022,0.174533,1.03766,-0.383685
4.96,1.04371,0.174533,1.05003,0.618497
4.98,1.0472,0.174533,1.05228,0.112029
5,1.05069,0.174533,1.05013,-0.107426
5.02,1.05418,0.174533,1.06225,0.606061
5.04,1.05767,0.174533,1.05548,-0.338503
5.06,1.06116,0.174533,1.07016,0.734109
5.08,1.06465,0.174533,1.07307,0.145694
5.1,1.06814,0.174533,1.05253,-1.02727
5.12,1.07163,0.174533,1.06492,0.619796
5.14,1.07512,0.174533,1.09141,1.32438
5.16,1.07861,0.174533,1.10282,0.570469
5.18,1.0821,0.174533,1.07755,-1.26371
5.2,1.08559,0.174533,1.08064,0.154623
5.22,1.08909,0.174533,1.08055,-0.00451658
5.24,1.09258,0.174533,1.08925,0.434835
5.26,1.09607,0.174533,1.0785,-0.537462
5.28,1.09956,0.174533,1.11041,1.5955
5.3,1.10305,0.174533,1.10124,-0.458104
5.32,1.10654,0.174533,1.11196,0.535547
5.34,1.11003,0.174533,1.11782,0.293096
5.36,1.11352,0.174533,1.11613,-0.0845444
5.38,1.11701,0.174533,1.10509,-0.55161
5.4,1.1205,0.174533,1.11538,0.514116
5.42,1.12399,0.174533,1.10969,-0.284402
5.44,1.12748,0.174533,1.12506,0.768728
5.46,1.13097,0.174533,1.15352,1.42278
5.48,1.13446,0.174533,1.15226,-0.0630285
5.5,1.13795,0.174533,1.14071,-0.577458
5.52,1.14145,0.174533,1.13405,-0.333155
5.54,1.14494,0.174533,1.14734,0.664626
5.56,1.14843,0.174533,1.15077,0.171378
5.58,1.15192,0.174533,1.14561,-0.257895
5.6,1.15541,0.174533,1.14481,-0.0398887
5.62,1.1589,0.174533,1.16249,0.883989
5.64,1.16239,0.174533,1.16447,0.0989719
5.66,1.16588,0.174533,1.15026,-0.710525
5.68,1.16937,0.174533,1.16356,0.665262
5.7,1.17286,0.174533,1.15557,-0.399505
5.72,1.17635,0.174533,1.18248,1.3452
5.74,1.17984,0.174533,1.18168,-0.0399271
5.76,1.18333,0.174533,1.1859,0.210792
5.78,1.18682,0.174533,1.20558,0.984232
5.8,1.19031,0.174533,1.1902,-0.768915
5.82,1.19381,0.174533,1.20215,0.597647
5.84,1.1973,0.174533,1.20389,0.0868526
5.86,1.20079,0.174533,1.22071,0.840782
5.88,1.20428,0.174533,1.20737,-0.667054
5.9,1.20777,0.174533,1.2098,0.121851
5.92,1.21126,0.174533,1.21534,0.277006
5.94,1.21475,0.174533,1.21476,-0.0294036
5.96,1.21824,0.174533,1.2166,0.0923042
5.98,1.22173,0.174533,1.23197,0.768606
6,1.22522,0.174533,1.22789,-0.203955
6.02,1.22871,0.174533,1.21494,-0.647558
6.04,1.2322,0.174533,1.22276,0.390629
6.06,1.23569,0.174533,1.22951,0.337921
6.08,1.23918,0.174533,1.24073,0.561015
6.1,1.24267,0.174533,1.26081,1.00367
6.12,1.24617,0.174533,1.23104,-1.48862
6.14,1.24966,0.174533,1.26414,1.65515
6.16,1.25315,0.174533,1.24463,-0.975689
6.18,1.25664,0.174533,1.26647,1.09245
6.2,1.26013,0.174533,1.26433,-0.107429
6.22,1.26362,0.174533,1.29059,1.31298
6.24,1.26711,0.174533,1.27672,-0.693276
6.26,1.2706,0.174533,1.27819,0.0736339
6.28,1.27409,0.174533,1.27265,-0.277087
6.3,1.27758,0.174533,1.26035,-0.615132
6.32,1.28107,0.174533,1.26754,0.359539
6.34,1.28456,0.174533,1.29223,1.23465
6.36,1.28805,0.174533,1.29516,0.146368
6.38,1.29154,0.174533,1.2922,-0.148079
6.4,1.29503,0.174533,1.31085,0.932793
6.42,1.29852,0.174533,1.28595,-1.2451
6.44,1.30202,0.174533,1.30874,1.13967
6.46,1.30551,0.174533,1.30308,-0.283439
6.48,1.309,0.174533,1.31949,0.82063
6.5,1.31249,0.174533,1.32593,0.321831
6.52,1.31598,0.174533,1.31727,-0.432772
6.54,1.31947,0.174533,1.31998,0.135539
6.56,1.32296,0.174533,1.31405,-0.296456
6.58,1.32645,0.174533,1.32442,0.518211
6.6,1.32994,0.174533,1.33154,0.355988
6.62,1.33343,0.174533,1.34506,0.676365
6.64,1.33692,0.174533,1.35151,0.322404
6.66,1.34041,0.174533,1.34228,-0.461703
6.68,1.3439,0.174533,1.32891,-0.668363
6.7,1.34739,0.174533,1.33756,0.432547
6.72,1.35088,0.174533,1.35019,0.631349
6.74,1.35438,0.174533,1.36145,0.563217
6.76,1.35787,0.174533,1.34713,-0.715837
6.78,1.36136,0.174533,1.34432,-0.140986
6.8,1.36485,0.174533,1.35716,0.642222
6.82,1.36834,0.174533,1.37624,0.95386
6.84,1.37183,0.174533,1.38997,0.686761
6.86,1.37532,0.174533,1.3767,-0.663496
6.88,1.37881,0.174533,1.37066,-0.302169
6.9,1.3823,0.174533,1.39028,0.981276
6.92,1.38579,0.174533,1.4035,0.660639
6.94,1.38928,0.174533,1.39983,-0.183324
6.96,1.39277,0.174533,1.37567,-1.20824
6.98,1.39626,0.174533,1.39166,0.799816
7,1.39975,0.174533,1.40487,0.6604
7.02,1.40324,0.174533,1.40702,0.107595
7.04,1.40674,0.174533,1.40599,-0.0518352
7.06,1.41023,0.174533,1.40878,0.139754
7.08,1.41372,0.174533,1.40414,-0.231787
7.1,1.41721,0.174533,1.42423,1.00433
7.12,1.4207,0.174533,1.40263,-1.07999
7.14,1.42419,0.174533,1.42008,0.872634
7.16,1.42768,0.174533,1.41768,-0.120329
7.18,1.43117,0.174533,1.4227,0.250988
7.2,1.43466,0.174533,1.44896,1.31301
7.22,1.43815,0.174533,1.43044,-0.925803
7.24,1.44164,0.174533,1.43263,0.109521
7.26,1.44513,0.174533,1.44738,0.737314
7.28,1.44862,0.174533,1.45306,0.284177
7.3,1.45211,0.174533,1.47216,0.95505
7.32,1.4556,0.174533,1.45082,-1.06722
7.34,1.4591,0.174533,1.43796,-0.642942
7.36,1.46259,0.174533,1.46842,1.52304
7.38,1.46608,0.174533,1.4789,0.523821
7.4,1.46957,0.174533,1.46574,-0.657596
7.42,1.47306,0.174533,1.47936,0.680742
7.44,1.47655,0.174533,1.4915,0.607202
7.46,1.48004,0.174533,1.48208,-0.471006
7.48,1.48353,0.174533,1.48985,0.388562
7.5,1.48702,0.174533,1.48661,-0.162018
7.52,1.49051,0.174533,1.49327,0.332724
7.54,1.494,0.174533,1.50305,0.488857
7.56,1.49749,0.174533,1.49713,-0.295766
7.58,1.50098,0.174533,1.49389,-0.162072
7.6,1.50447,0.174533,1.49915,0.263094
7.62,1.50796,0.174533,1.50294,0.189549
7.64,1.51146,0.174533,1.51989,0.847343
7.66,1.51495,0.174533,1.50878,-0.555528
7.68,1.51844,0.174533,1.52975,1.04844
7.7,1.52193,0.174533,1.52987,0.00594945
7.72,1.52542,0.174533,1.51754,-0.616446
7.74,1.52891,0.174533,1.52614,0.430017
7.76,1.5324,0.174533,1.53268,0.327078
7.78,1.53589,0.174533,1.55531,1.13165
7.8,1.53938,0.174533,1.52441,-1.54512
7.82,1.54287,0.174533,1.53856,0.707582
7.84,1.54636,0.174533,1.53736,-0.0598299
7.86,1.54985,0.174533,1.55538,0.900871
7.88,1.55334,0.174533,1.55505,-0.0167139
7.9,1.55683,0.174533,1.55531,0.0132645
7.92,1.56032,0.174533,1.54967,-0.282102
7.94,1.56382,0.174533,1.56667,0.850028
7.96,1.56731,0.174533,1.578,0.566391
7.98,1.5708,0.174533,1.56582,-0.609093
8,1.57429,0.174533,1.57874,0.646237
8.02,1.57778,0.174533,1.58909,0.517339
8.04,1.58127,0.174533,1.57876,-0.516283
8.06,1.58476,0.174533,1.58723,0.423281
8.08,1.58825,0.174533,1.57162,-0.780316
8.1,1.59174,0.174533,1.58773,0.80524
8.12,1.59523,0.174533,1.60107,0.667193
8.14,1.59872,0.174533,1.60807,0.349723
8.16,1.60221,0.174533,1.59637,-0.584794
8.18,1.6057,0.174533,1.60159,0.261233
8.2,1.60919,0.174533,1.59555,-0.302342
8.22,1.61268,0.174533,1.61186,0.815759
8.24,1.61617,0.174533,1.60364,-0.411322
8.26,1.61967,0.174533,1.62898,1.26703
8.28,1.62316,0.174533,1.63094,0.0979986
8.3,1.62665,0.174533,1.62356,-0.369003
8.32,1.63014,0.174533,1.62803,0.22341
8.34,1.63363,0.174533,1.63692,0.444657
8.36,1.63712,0.174533,1.65145,0.726778
8.38,1.64061,0.174533,1.64923,-0.111024
8.4,1.6441,0.174533,1.66881,0.978786
8.42,1.64759,0.174533,1.64152,-1.36454
8.44,1.65108,0.174533,1.65589,0.718509
8.46,1.65457,0.174533,1.63127,-1.23094
8.48,1.65806,0.174533,1.65317,1.09503
8.5,1.66155,0.174533,1.65937,0.309937
8.52,1.66504,0.174533,1.67001,0.532215
8.54,1.66853,0.174533,1.66637,-0.182349
8.56,1.67203,0.174533,1.68551,0.957353
8.58,1.67552,0.174533,1.68288,-0.131751
8.6,1.67901,0.174533,1.67591,-0.348679
8.62,1.6825,0.174533,1.68705,0.557217
8.64,1.68599,0.174533,1.68229,-0.238237
8.66,1.68948,0.174533,1.70097,0.934069
8.68,1.69297,0.174533,1.67751,-1.17266
8.7,1.69646,0.174533,1.68524,0.386267
8.72,1.69995,0.174533,1.70309,0.892777
8.74,1.70344,0.174533,1.69541,-0.384043
8.76,1.70693,0.174533,1.69652,0.0553097
8.78,1.71042,0.174533,1.70462,0.404792
8.8,1.71391,0.174533,1.72169,0.853903
8.82,1.7174,0.174533,1.72516,0.173167
8.84,1.72089,0.174533,1.7332,0.402061
8.86,1.72439,0.174533,1.72186,-0.567137
8.88,1.72788,0.174533,1.72306,0.0604564
8.9,1.73137,0.174533,1.73208,0.450706
8.92,1.73486,0.174533,1.72054,-0.576817
8.94,1.73835,0.174533,1.71756,-0.149184
8.96,1.74184,0.174533,1.73394,0.819064
8.98,1.74533,0.174533,1.74736,0.670955
9,1.74882,0.174533,1.78171,1.71743
9.02,1.75231,0.174533,1.76508,-0.831164
9.04,1.7558,0.174533,1.74813,-0.847828
9.06,1.75929,0.174533,1.75874,0.530856
9.08,1.76278,0.174533,1.76085,0.105458
9.1,1.76627,0.174533,1.76377,0.14572
9.12,1.76976,0.174533,1.78089,0.85596
9.14,1.77325,0.174533,1.77232,-0.428521
9.16,1.77675,0.174533,1.76578,-0.326702
9.18,1.78024,0.174533,1.79139,1.2806
9.2,1.78373,0.174533,1.80019,0.439683
9.22,1.78722,0.174533,1.78092,-0.963253
9.24,1.79071,0.174533,1.81672,1.78973
9.26,1.7942,0.174533,1.8094,-0.365975
9.28,1.79769,0.174533,1.79909,-0.515336
9.3,1.80118,0.174533,1.8154,0.815354
9.32,1.80467,0.174533,1.80348,-0.595987
9.34,1.80816,0.174533,1.8101,0.331141
9.36,1.81165,0.174533,1.79806,-0.602
9.38,1.81514,0.174533,1.79729,-0.0386312
9.4,1.81863,0.174533,1.82049,1.16015
9.42,1.82212,0.174533,1.83863,0.906862
9.44,1.82561,0.174533,1.83173,-0.345102
9.46,1.82911,0.174533,1.81354,-0.909413
9.48,1.8326,0.174533,1.8376,1.20295
9.5,1.83609,0.174533,1.84995,0.617639
9.52,1.83958,0.174533,1.82458,-1.26869
9.54,1.84307,0.174533,1.84108,0.824952
9.56,1.84656,0.174533,1.84684,0.28794
9.58,1.85005,0.174533,1.85556,0.436382
9.6,1.85354,0.174533,1.8407,-0.743243
9.62,1.85703,0.174533,1.86085,1.00759
9.64,1.86052,0.174533,1.86675,0.294932
9.66,1.86401,0.174533,1.87371,0.348197
9.68,1.8675,0.174533,1.87924,0.276615
9.7,1.87099,0.174533,1.88021,0.0485127
9.72,1.87448,0.174533,1.87079,-0.471286
9.74,1.87797,0.174533,1.90787,1.85379
9.76,1.88146,0.174533,1.8762,-1.58341
9.78,1.88496,0.174533,1.89357,0.868905
9.8,1.88845,0.174533,1.89674,0.15834
9.82,1.89194,0.174533,1.88412,-0.631306
9.84,1.89543,0.174533,1.89773,0.680691
9.86,1.89892,0.174533,1.89707,-0.0329663
9.88,1.90241,0.174533,1.9019,0.241264
9.9,1.9059,0.174533,1.89178,-0.505533
9.92,1.90939,0.174533,1.91497,1.15947
9.94,1.91288,0.174533,1.91989,0.245919
9.96,1.91637,0.174533,1.9016,-0.914582
9.98,1.91986,0.174533,1.92046,0.943165
10,1.92335,0.174533,1.93523,0.738259
10.02,1.92684,0.174533,1.91847,-0.83783
10.04,1.93033,0.174533,1.93861,1.00669
10.06,1.93382,0.174533,1.93185,-0.337609
10.08,1.93732,0.174533,1.93639,0.226877
10.1,1.94081,0.174533,1.95402,0.881569
10.12,1.9443,0.174533,1.93851,-0.775568
10.14,1.94779,0.174533,1.95351,0.750049
10.16,1.95128,0.174533,1.94269,-0.541086
10.18,1.95477,0.174533,1.95709,0.719718
